date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:02:42	10740/10740	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2014:02:43%20GMT	https://aynurdurmus2007.bubbleapps.io/version-test	C:/My%20Web%20Sites/Odyssey/aynurdurmus2007.bubbleapps.io/version-test.html	(from )
09:02:42	58/58	---MCZ	200	added ('OK')	text/plain	date:Sun,%2005%20Nov%202023%2014:02:43%20GMT	https://aynurdurmus2007.bubbleapps.io/robots.txt		(from )
09:02:43	24223/24223	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20Nov%202023%2014:02:43%20GMT	https://aynurdurmus2007.bubbleapps.io/package/early_js/05ae9fe83d6b755291132aab9d325d70918aafd336da1bd91a41a31c8b25734b/early.js	C:/My%20Web%20Sites/Odyssey/aynurdurmus2007.bubbleapps.io/package/early_js/05ae9fe83d6b755291132aab9d325d70918aafd336da1bd91a41a31c8b25734b/early.js	(from https://aynurdurmus2007.bubbleapps.io/version-test)
09:02:43	0/0	---MC-	302	error ('Found')	text/html	date:Sun,%2005%20Nov%202023%2014:02:44%20GMT	https://aynurdurmus2007.bubbleapps.io/GET	C:/My%20Web%20Sites/Odyssey/aynurdurmus2007.bubbleapps.io/GET	(from https://aynurdurmus2007.bubbleapps.io/version-test)
09:02:43	20586/20586	---M--	200	added ('OK')	image/png	etag:%22d5d7c49a74502dbd01195f42fefc13c9%22	https://0196c35680ec52653dd645436089f38b.cdn.bubble.io/f1530294839424x143528842134401200/Icon-no-clearspace.png	C:/My%20Web%20Sites/Odyssey/0196c35680ec52653dd645436089f38b.cdn.bubble.io/f1530294839424x143528842134401200/Icon-no-clearspace.png	(from https://aynurdurmus2007.bubbleapps.io/version-test)
09:02:44	63389/63389	---M--	200	added ('OK')	image/png	etag:%22090d9364b390c261f29037192afe4b61%22	https://0196c35680ec52653dd645436089f38b.cdn.bubble.io/f1673991650471x907829260206606500/URL%20Preview%20Image%20%e2%80%93%20Meta%20%e2%80%93%20Tagline.png	C:/My%20Web%20Sites/Odyssey/0196c35680ec52653dd645436089f38b.cdn.bubble.io/f1673991650471x907829260206606500/URL%20Preview%20Image%20%e2%80%93%20Meta%20%e2%80%93%20Tagline.png	(from https://aynurdurmus2007.bubbleapps.io/version-test)
09:02:44	91685/91685	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Nov%202023%2014:02:45%20GMT	https://aynurdurmus2007.bubbleapps.io/package/run_css/bafe0d1b84063e316c2b47789d56665c72bf1a35a3830c404f9011074e229522/aynurdurmus2007/test/index/xfalse/xfalse/run.css	C:/My%20Web%20Sites/Odyssey/aynurdurmus2007.bubbleapps.io/package/run_css/bafe0d1b84063e316c2b47789d56665c72bf1a35a3830c404f9011074e229522/aynurdurmus2007/test/index/xfalse/xfalse/run.css	(from https://aynurdurmus2007.bubbleapps.io/version-test)
09:02:44	89795/89795	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20Nov%202023%2014:02:45%20GMT	https://aynurdurmus2007.bubbleapps.io/package/pre_run_jquery_js/dee903a9e36db713e4c86d0cdd96d921e37be0c1293ed8dee29e2e4d7713b9ff/pre_run_jquery.js	C:/My%20Web%20Sites/Odyssey/aynurdurmus2007.bubbleapps.io/package/pre_run_jquery_js/dee903a9e36db713e4c86d0cdd96d921e37be0c1293ed8dee29e2e4d7713b9ff/pre_run_jquery.js	(from https://aynurdurmus2007.bubbleapps.io/version-test)
09:02:45	3898158/3898158	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20Nov%202023%2014:02:45%20GMT	https://aynurdurmus2007.bubbleapps.io/package/run_js/367299b5bd74c4b5f1d79823b42e8034a7b1a644ef4d8855e0b71422c5d6bcd7/xtrue/x27/run.js	C:/My%20Web%20Sites/Odyssey/aynurdurmus2007.bubbleapps.io/package/run_js/367299b5bd74c4b5f1d79823b42e8034a7b1a644ef4d8855e0b71422c5d6bcd7/xtrue/x27/run.js	(from https://aynurdurmus2007.bubbleapps.io/version-test)
09:02:45	736262/736262	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2005%20Nov%202023%2014:02:46%20GMT	https://aynurdurmus2007.bubbleapps.io/package/static_js/a3f6a30bb87b41f1558586df94a1e8e12098baa5ed5ed37df57f4eb2a9ddf1ae/aynurdurmus2007/test/index/xnull/xfalse/xfalse/xtrue/static.js	C:/My%20Web%20Sites/Odyssey/aynurdurmus2007.bubbleapps.io/package/static_js/a3f6a30bb87b41f1558586df94a1e8e12098baa5ed5ed37df57f4eb2a9ddf1ae/aynurdurmus2007/test/index/xnull/xfalse/xfalse/xtrue/static.js	(from https://aynurdurmus2007.bubbleapps.io/version-test)
